"file_id","check1","check2","cause","overhead","total","condition","satisfaction","frequency","age","nationality","gender","comment"
"1","20","Alloftheabove",0,0,0,"causefirst",6,1,30,"American","Male",""
"3","20","Alloftheabove",3,2,5,"causefirst",6,6,32,"American","Female",""
"5","20","Alloftheabove",1,0.5,1.5,"causefirst",6,4,53,"American","Female",""
"6","20","Alloftheabove",2,0,2,"overfirst",4,2,53,"DualAmericanUK","Female","ThenationalityquestionIamadualcitizensohadtowriteitallinonewordasitwasntpossibletoputspacesin"
"7","20","Alloftheabove",1,0,1,"causefirst",6,5,31,"American","Female",""
"8","20","Alloftheabove",0,0,0,"causefirst",5,4,38,"American","Female",""
"9","20","Alloftheabove",0,0,0,"causefirst",6,1,52,"american","Male",""
"10","20","Alloftheabove",2,1,3,"causefirst",2,5,33,"American","Female",""
"12","20","Alloftheabove",0,0,0,"causefirst",5,3,30,"American","Male","nocomment"
"14","20","Alloftheabove",0,0,0,"causefirst",3,4,84,"American","Female",""
"15","20","Alloftheabove",0,0,0,"causefirst",6,3,44,"American","Female","Evenwiththeinsignificantamountof5orlessIwouldneedtoknowmuchmoreaboutacharitybeforedecidingtodonateIngeneralIdonatetolocalcommunitybasedorganizations"
"16","20","Alloftheabove",0,0,0,"overfirst",3,1,29,"American","Female","None"
"18","20","Alloftheabove",1,1,2,"causefirst",4,5,47,"American","Male",""
"19","20","Alloftheabove",4,1,5,"causefirst",5,6,50,"American","Female",""
"20","20","Alloftheabove",0,0,0,"overfirst",3,2,31,"American","Male",""
"21","20","Alloftheabove",2,1,3,"causefirst",4,4,29,"american","Female",""
"23","20","Alloftheabove",0,0,0,"overfirst",6,0,41,"American","Male",""
"24","20","Alloftheabove",2,0,2,"causefirst",6,5,54,"America","Male",""
"26","20","Alloftheabove",0,0,0,"overfirst",6,0,32,"American","Male",""
"27","20","Alloftheabove",3,2,5,"overfirst",3,3,26,"AmericanIranian","Female",""
"28","20","Alloftheabove",4,1,5,"overfirst",5,2,37,"American","Male",""
"29","20","Alloftheabove",3,1,4,"overfirst",5,0,31,"American","Female",""
"30","20","Alloftheabove",0,0,0,"overfirst",6,1,34,"American","Male",""
"31","20","Alloftheabove",0,0,0,"overfirst",6,6,49,"American","Female","None"
"32","20","Alloftheabove",3,2,5,"overfirst",5,4,27,"American","Female",""
"33","20","Alloftheabove",0,0,0,"overfirst",3,2,33,"American","Male",""
"34","20","Alloftheabove",1,1,2,"overfirst",5,3,30,"American","Nonbinary",""
"37","20","Alloftheabove",0,0,0,"overfirst",2,0,35,"american","Female","Imtobroketodonatemoneyatthetime"
"38","20","Alloftheabove",1,1,2,"causefirst",6,2,20,"Mexican","Male",""
"39","20","Alloftheabove",3,2,5,"causefirst",6,4,26,"American","Female",""
"40","20","Alloftheabove",0,0,0,"causefirst",2,3,37,"American","Female","NA"
"41","20","Alloftheabove",0,0,0,"causefirst",6,4,28,"American","Male",""
"42","20","Alloftheabove",5,0,5,"overfirst",6,6,34,"american","Male","na"
"43","20","Alloftheabove",0,0,0,"causefirst",3,2,36,"American","Male",""
"44","20","Alloftheabove",0,0,0,"causefirst",0,4,65,"American","Female",""
"45","20","Alloftheabove",3,2,5,"causefirst",6,3,30,"American","Female",""
"46","20","Alloftheabove",1,1,2,"causefirst",5,1,23,"American","Female",""
"48","20","Alloftheabove",0.5,0.5,1,"causefirst",3,3,33,"American","Female",""
"49","20","Alloftheabove",1,1,2,"causefirst",6,5,54,"America","Female",""
"50","20","Alloftheabove",1,1,2,"causefirst",4,3,29,"American","Female",""
"51","20","Alloftheabove",0.2,0.1,0.3,"causefirst",6,6,27,"American","Male","ItrytodonatemostlytoenvironmentalcausesandifthathadbeenthecharityselectedIwouldhaveoptedtodonatemore"
"52","20","Alloftheabove",2.5,2.5,5,"overfirst",3,3,39,"American","Female",""
"53","20","Alloftheabove",0,0,0,"causefirst",6,2,34,"white","Female",""
"54","20","Alloftheabove",1,0,1,"overfirst",6,6,56,"American","Male",""
"55","20","Alloftheabove",0,0,0,"overfirst",4,2,42,"American","Male","youmisspelledreceive"
"56","20","Alloftheabove",1,0.5,1.5,"causefirst",3,2,37,"American","Female",""
"57","20","Alloftheabove",1.5,1,2.5,"overfirst",3,3,30,"American","Male",""
"58","20","Alloftheabove",3,2,5,"overfirst",5,3,22,"American","Male",""
"59","20","Alloftheabove",0,0,0,"overfirst",3,3,41,"American","Female",""
"60","20","Alloftheabove",3,0,3,"causefirst",6,3,32,"American","Male","fun"
"61","20","Alloftheabove",0.25,0.25,0.5,"overfirst",6,2,36,"American","Male",""
"62","20","Alloftheabove",2.5,2.5,5,"overfirst",5,4,28,"American","Male",""
"63","20","Alloftheabove",1,1,2,"causefirst",6,5,33,"American","Male",""
"65","20","Alloftheabove",0,0,0,"overfirst",3,2,29,"American","Male",""
"70","20","Alloftheabove",1,0,1,"causefirst",4,3,44,"American","Female",""
"72","20","Alloftheabove",0,0,0,"overfirst",6,2,39,"American","Female",""
"74","20","Alloftheabove",2,0,2,"causefirst",4,2,33,"American","Nonbinary",""
"75","20","Alloftheabove",1,1,2,"overfirst",5,4,34,"USA","Female",""
"76","20","Alloftheabove",0,0,0,"causefirst",5,5,53,"American","Male",""
"77","20","Alloftheabove",0,0,0,"causefirst",3,1,25,"American","Male",""
"79","20","Alloftheabove",0,0,0,"overfirst",6,0,35,"American","Male","None"
"80","20","Alloftheabove",1,0,1,"overfirst",5,5,30,"American","Male",""
"81","20","Alloftheabove",0.5,0,0.5,"overfirst",3,3,42,"American","Male","Iveseenfirsthandhowreputablenonprofitorganizationsmisspendmassiveamountsofmoneyon\overhead\"
"83","20","Alloftheabove",0,0,0,"causefirst",3,1,28,"American","Male","na"
"85","20","Alloftheabove",1,0,1,"overfirst",5,1,31,"American","Male","None"
"86","20","Alloftheabove",2,1,3,"causefirst",5,1,45,"American","Male",""
"87","20","Alloftheabove",0,0,0,"causefirst",6,0,20,"American","Male",""
"88","20","Alloftheabove",1,1,2,"overfirst",5,5,28,"American","Female",""
"90","20","Alloftheabove",0,0,0,"overfirst",3,6,46,"American","Male",""
"93","20","Alloftheabove",0,0,0,"causefirst",5,2,44,"American","Male",""
"94","20","Alloftheabove",0,0,0,"causefirst",5,0,43,"american","Male","nope"
"95","20","Alloftheabove",1,1,2,"overfirst",6,2,39,"american","Male",""
"97","20","Alloftheabove",3,2,5,"causefirst",6,4,32,"American","Male",""
"99","20","Alloftheabove",3,2,5,"causefirst",5,3,36,"American","Male",""
"100","20","Alloftheabove",0,0,0,"causefirst",3,2,61,"American","Female",""
"101","20","Alloftheabove",2.5,2.5,5,"causefirst",6,6,46,"American","Female","nonethanks"
"102","20","Alloftheabove",0,0,0,"causefirst",6,4,33,"American","Male",""
"104","20","Alloftheabove",3,2,5,"overfirst",5,4,51,"American","Female",""
"105","20","Alloftheabove",0,0,0,"causefirst",5,1,35,"American","Male",""
"107","20","Alloftheabove",2,2,4,"overfirst",4,3,42,"American","Male",""
"108","20","Alloftheabove",0.25,0.25,0.5,"overfirst",4,1,29,"American","Female",""
"109","20","Alloftheabove",1,0,1,"overfirst",5,1,29,"American","Male",""
"110","20","Alloftheabove",1,0,1,"overfirst",5,4,38,"American","Female",""
"111","20","Alloftheabove",0,0,0,"overfirst",2,5,37,"American","Female","AlthoughIchosenottodonatetothischarityIdooftendonatetocharitiesthatIcanselectmyself"
"113","20","Alloftheabove",2,2,4,"causefirst",4,0,27,"American","Female",""
"114","20","Alloftheabove",0,0,0,"overfirst",6,4,57,"American","Female","NA"
"115","20","Alloftheabove",0,5,5,"overfirst",3,1,34,"American","Female",""
"117","20","Alloftheabove",1,1,2,"causefirst",4,4,30,"American","Female","Haveagreatday"
"118","20","Alloftheabove",0,0,0,"overfirst",6,0,46,"American","Male",""
"119","20","Alloftheabove",4.5,0.5,5,"overfirst",6,2,32,"American","Male","na"
"120","20","Alloftheabove",0,0,0,"overfirst",5,1,26,"American","Male",""
"121","20","Alloftheabove",4,1,5,"overfirst",5,2,32,"American","Male",""
"122","20","Alloftheabove",1,1,2,"causefirst",3,1,22,"American","Female",""
"123","20","Alloftheabove",1,1,2,"causefirst",5,3,43,"American","Female",""
"124","20","Alloftheabove",1,0,1,"overfirst",5,5,64,"american","Female",""
"126","20","Alloftheabove",1.5,1,2.5,"causefirst",2,3,25,"American","Prefernottosay",""
"130","20","Alloftheabove",0,0,0,"overfirst",5,3,24,"American","Female",""
"131","20","Alloftheabove",2,1,3,"causefirst",6,1,31,"hispanic","Female",""
"134","20","Alloftheabove",2,2,4,"overfirst",6,6,32,"Bangladesh","Male",""
"135","20","Alloftheabove",1,0,1,"overfirst",3,6,24,"American","Female",""
"136","20","Alloftheabove",1,1,2,"causefirst",3,3,34,"American","Male",""
