"file_id","check1","check2","cause","overhead","total","condition","satisfaction","frequency","age","nationality","gender","comment"
"1","20","Alloftheabove",7,1,8,"causefirst",6,3,61,"American","Female",""
"2","20","Alloftheabove",4,4,8,"causefirst",4,0,24,"American","Female",""
"3","20","Alloftheabove",0,0,0,"causefirst",4,1,23,"American","Nonbinary",""
"4","20","Alloftheabove",0,0.4,0.4,"overfirst",0,0,130,"African","Prefernottosay","toolong"
"5","20","Alloftheabove",6,2,8,"overfirst",5,3,25,"Asian","Other","fascinating"
"6","20","Alloftheabove",6,2,8,"overfirst",4,6,64,"American","Female",""
"7","20","Alloftheabove",0,0,0,"overfirst",6,0,31,"American","Female","hi"
"8","20","Alloftheabove",4,3,7,"causefirst",5,3,29,"Chinese","Female","test"
"9","50","Alloftheabove",0,3.1,3.1,"overfirst",3,2,23,"Amer","Female","3"
"10","20","Alloftheabove",0,0,0,"overfirst",6,1,23,"China","Female",""
"11","20","Alloftheabove",3,2,5,"causefirst",5,3,26,"congolese","Female",""
"12","20","Alloftheabove",1,0,1,"causefirst",2,1,21,"American","Female",""
"13","20","Alloftheabove",8,0,8,"overfirst",6,0,35,"American","Male",""
"14","20","Alloftheabove",8,0,8,"causefirst",4,6,66,"American","Male",""
"15","20","Alloftheabove",8,0,8,"causefirst",6,1,28,"Japanese","Female",""
"16","20","Alloftheabove",8,0,8,"causefirst",6,4,25,"Indian","Female",""
