file_id,check1,check2,cause,overhead,total,condition,satisfaction,frequency,age,nationality,gender,comment
1,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,1,30,American,"{""gender"":""Male""}","{""Q0"":""""}"
2,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",2,2,4,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,3,36,american,"{""gender"":""Female""}","{""Q0"":""""}"
3,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",3,2,5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,6,32,American,"{""gender"":""Female""}","{""Q0"":""""}"
4,"{""chance_response"":""50%""}","{""donation_use_response"":""To support an advertised cause""}",1,2,3,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",6,2,32,American,"{""gender"":""Male""}","{""Q0"":""its good to donste to charity""}"
5,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0.5,1.5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,4,53,American,"{""gender"":""Female""}","{""Q0"":""""}"
6,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,0,2,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,2,53,DualAmericanUK,"{""gender"":""Female""}","{""Q0"":""The nationality question - I am a dual citizen, so had to write it all in one word as it wasn’t possible to put spaces in! ""}"
7,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,0,1,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,5,31,American,"{""gender"":""Female""}","{""Q0"":""""}"
8,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,4,38,American,"{""gender"":""Female""}","{""Q0"":""""}"
9,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,1,52,american,"{""gender"":""Male""}","{""Q0"":""""}"
10,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",2,1,3,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",2,5,33,American,"{""gender"":""Female""}","{""Q0"":""""}"
11,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",1.25,1.25,2.5,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,3,54,American,"{""gender"":""Female""}","{""Q0"":""""}"
12,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",5,3,30,American,"{""gender"":""Male""}","{""Q0"":""no comment.""}"
13,"{""chance_response"":""10%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,4,62,AfricanAmerican,"{""gender"":""Female""}","{""Q0"":""""}"
14,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",3,4,84,American,"{""gender"":""Female""}","{""Q0"":""""}"
15,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",6,3,44,American,"{""gender"":""Female""}","{""Q0"":""Even with the insignificant amount of $5 or less, I would need to know much more about a charity before deciding to donate. In general, I donate to local community based organizations.""}"
16,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",0,0,0,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",3,1,29,American,"{""gender"":""Female""}","{""Q0"":""None""}"
17,"{""chance_response"":""50%""}","{""donation_use_response"":""All of the above""}",1.25,1.25,2.5,"[""For covering charitable organizations’ operating expense ($)"",""For the cause ($)""]",4,4,27,American,"{""gender"":""Female""}","{""Q0"":""""}"
18,"{""chance_response"":""20%""}","{""donation_use_response"":""All of the above""}",1,1,2,"[""For the cause ($)"",""For covering charitable organizations’ operating expense ($)""]",4,5,47,American,"{""gender"":""Male""}","{""Q0"":""""}"
